project_id,ward,region,representative,department,fiscal_year,project,allocated_amount,spent_amount,status,start_date,expected_end_date,description
1001,Ward 01,North,Ravi Kumar,Roads,2023-24,Road Resurfacing,4900000,3080000,In Progress,2023-04-05,2023-08-25,Road Resurfacing for Ward 01
1002,Ward 01,North,Ravi Kumar,Roads,2023-24,Road Expansion,5030000,380000,Planned,2023-01-03,2023-07-23,Road Expansion for Ward 01
1003,Ward 01,North,Ravi Kumar,Roads,2023-24,Footpath Improvement,3430000,2840000,In Progress,2023-12-21,2024-12-24,Footpath Improvement for Ward 01
1004,Ward 01,North,Ravi Kumar,Sanitation,2023-24,Waste Management Facility,2870000,2230000,In Progress,2023-01-25,2023-07-15,Waste Management Facility for Ward 01
1005,Ward 01,North,Ravi Kumar,Sanitation,2023-24,Public Toilet Upgrade,3570000,2630000,In Progress,2023-06-04,2023-10-19,Public Toilet Upgrade for Ward 01
1006,Ward 01,North,Ravi Kumar,Healthcare,2023-24,Medical Equipment Purchase,3170000,2360000,In Progress,2023-05-02,2024-03-22,Medical Equipment Purchase for Ward 01
1007,Ward 01,North,Ravi Kumar,Healthcare,2023-24,Community Health Facility,3620000,3470000,Completed,2023-09-10,2024-10-25,Community Health Facility for Ward 01
1008,Ward 01,North,Ravi Kumar,Education,2023-24,Library Development,3620000,3330000,Completed,2023-12-03,2024-03-25,Library Development for Ward 01
1009,Ward 01,North,Ravi Kumar,Education,2023-24,School Renovation,3730000,3320000,In Progress,2023-04-04,2024-01-13,School Renovation for Ward 01
1010,Ward 01,North,Ravi Kumar,Education,2023-24,Classroom Construction,2700000,2270000,In Progress,2023-06-12,2023-12-26,Classroom Construction for Ward 01
1011,Ward 01,North,Ravi Kumar,Water Supply,2023-24,Water Pipeline Expansion,4380000,3790000,In Progress,2023-02-20,2024-04-10,Water Pipeline Expansion for Ward 01
1012,Ward 01,North,Ravi Kumar,Water Supply,2023-24,Water Tank Construction,2810000,2450000,In Progress,2023-07-09,2024-08-29,Water Tank Construction for Ward 01
1013,Ward 01,North,Ravi Kumar,Infrastructure,2023-24,Community Hall Construction,3170000,2200000,In Progress,2023-01-08,2023-04-24,Community Hall Construction for Ward 01
1014,Ward 01,North,Ravi Kumar,Infrastructure,2023-24,Bus Shelter Development,3430000,560000,Planned,2023-10-23,2024-06-30,Bus Shelter Development for Ward 01
1015,Ward 02,North,Suresh Rao,Roads,2023-24,Road Expansion,3360000,2670000,In Progress,2023-11-15,2024-04-26,Road Expansion for Ward 02
1016,Ward 02,North,Suresh Rao,Roads,2023-24,Footpath Improvement,3550000,2500000,In Progress,2023-05-24,2024-06-16,Footpath Improvement for Ward 02
1017,Ward 02,North,Suresh Rao,Sanitation,2023-24,Public Toilet Upgrade,2890000,2380000,In Progress,2023-03-17,2024-02-22,Public Toilet Upgrade for Ward 02
1018,Ward 02,North,Suresh Rao,Sanitation,2023-24,Sewer Line Expansion,2040000,230000,Planned,2023-11-14,2024-12-13,Sewer Line Expansion for Ward 02
1019,Ward 02,North,Suresh Rao,Healthcare,2023-24,Community Health Facility,2260000,1700000,In Progress,2023-09-09,2024-09-16,Community Health Facility for Ward 02
1020,Ward 02,North,Suresh Rao,Healthcare,2023-24,PHC Upgrade,4550000,2830000,In Progress,2023-11-18,2024-07-01,PHC Upgrade for Ward 02
1021,Ward 02,North,Suresh Rao,Healthcare,2023-24,Health Center Renovation,4290000,3170000,In Progress,2023-03-15,2023-06-14,Health Center Renovation for Ward 02
1022,Ward 02,North,Suresh Rao,Education,2023-24,School Renovation,4520000,4180000,Completed,2023-09-25,2024-03-24,School Renovation for Ward 02
1023,Ward 02,North,Suresh Rao,Education,2023-24,Classroom Construction,3320000,2180000,In Progress,2023-11-17,2024-12-22,Classroom Construction for Ward 02
